data_referencia,municipio,estado,total_focos,nivel,risco_fogo_medio,registrado_em
2026-07-23,ALTAMIRA,PARÁ,110,ALTO,0.58,2026-07-24T19:04:56.320Z
2026-07-23,ALTAMIRA,PARÁ,110,ALTO,0.58,2026-07-24T19:24:02.566Z
2026-07-24,ALTAMIRA,PARÁ,54,ALTO,0.73,2026-07-25T13:26:40.777Z
2026-07-25,ALTAMIRA,PARÁ,13,MODERADO,0.87,2026-07-26T13:22:43.037Z
2026-07-26,ALTAMIRA,PARÁ,5,MODERADO,0.84,2026-07-27T14:34:41.842Z
2026-07-27,ALTAMIRA,PARÁ,1,BAIXO,1,2026-07-28T14:07:04.271Z
2026-07-28,ALTAMIRA,PARÁ,5,MODERADO,0.6,2026-07-29T14:10:26.863Z
2026-07-29,ALTAMIRA,PARÁ,4,BAIXO,0.7,2026-07-30T14:02:27.338Z
2026-07-30,ALTAMIRA,PARÁ,16,ALTO,0.61,2026-07-31T14:06:35.538Z
2026-07-31,ALTAMIRA,PARÁ,140,ALTO,0.64,2026-08-01T13:21:20.340Z
2026-08-01,ALTAMIRA,PARÁ,139,ALTO,0,2026-08-02T13:21:24.134Z
2026-08-03,ALTAMIRA,PARÁ,443,ALTO,0.67,2026-08-04T14:11:46.220Z
2026-08-04,ALTAMIRA,PARÁ,479,ALTO,0.66,2026-08-05T14:09:12.296Z
2026-08-05,ALTAMIRA,PARÁ,353,ALTO,0.67,2026-08-06T14:10:12.066Z
2026-08-06,ALTAMIRA,PARÁ,185,ALTO,0.7,2026-08-07T13:03:15.232Z
2026-08-07,ALTAMIRA,PARÁ,78,ALTO,-12.01,2026-08-08T12:48:13.604Z
2026-08-08,ALTAMIRA,PARÁ,34,ALTO,0.89,2026-08-09T12:50:26.731Z
2026-08-09,ALTAMIRA,PARÁ,10,MODERADO,0.59,2026-08-10T13:07:46.407Z
2026-08-10,ALTAMIRA,PARÁ,11,MODERADO,0.86,2026-08-11T13:05:14.806Z
2026-08-11,ALTAMIRA,PARÁ,15,ALTO,0.75,2026-08-12T13:09:10.030Z
2026-08-13,ALTAMIRA,PARÁ,200,ALTO,0.89,2026-08-14T13:05:57.762Z
2026-08-14,ALTAMIRA,PARÁ,535,ALTO,0.85,2026-08-15T12:36:37.425Z
2026-08-15,ALTAMIRA,PARÁ,658,ALTO,0.95,2026-08-16T12:38:22.872Z
2026-08-16,ALTAMIRA,PARÁ,1107,ALTO,0.96,2026-08-17T12:43:07.120Z
2026-08-17,ALTAMIRA,PARÁ,1030,ALTO,0.94,2026-08-18T12:45:33.651Z
2026-08-18,ALTAMIRA,PARÁ,2804,ALTO,0.96,2026-08-19T12:46:17.133Z
